Energy(eV),eps1,eps2,n,kappa,alpha(cm^-1)
1.050910035266445108e+00,2.285382506911094016e+18,4.794207964513106400e+16,1.511831309357919455e+09,1.585563129576164111e+07,1.688855929951948486e+12
1.058252063485091599e+00,2.297821305098806784e+18,4.806713405942569600e+16,1.515939527660418749e+09,1.585390880783158727e+07,1.700470121361062256e+12
1.065594091703738089e+00,2.310421738631455232e+18,4.832036308848687200e+16,1.520090245705800533e+09,1.589391262294442020e+07,1.716588310024373535e+12
1.072936119922384579e+00,2.323574620485448704e+18,4.873709530130040000e+16,1.524411413675048590e+09,1.598554526163383573e+07,1.738380517296517334e+12
1.080278148141031069e+00,2.336790146810951680e+18,4.936174869968291200e+16,1.528741571990153551e+09,1.614456936479434185e+07,1.767687871777644287e+12
1.087620176359677560e+00,2.350777061069338112e+18,5.021210794091137600e+16,1.533311827559136152e+09,1.637374310900473408e+07,1.804964869714632812e+12
1.094962204578324050e+00,2.364642412030378496e+18,5.141048701464002400e+16,1.537830228664742231e+09,1.671526741260264814e+07,1.855051551980623291e+12
1.102304232796970540e+00,2.379530579835650560e+18,5.298620263435975200e+16,1.542668308768130779e+09,1.717355647134372592e+07,1.918691904986947754e+12
1.109646261015616808e+00,2.393933798584404992e+18,5.496770992431879200e+16,1.547336191273490429e+09,1.776204493707365915e+07,1.997657564983271729e+12
1.116988289234263299e+00,2.409712558841547264e+18,5.733998382192438400e+16,1.552434738401242256e+09,1.846775983671262860e+07,2.090770499870156006e+12
1.124330317452909789e+00,2.424625760191912960e+18,6.030112868470420000e+16,1.557241352124630213e+09,1.936152305563423410e+07,2.206362994678355957e+12
1.131672345671556279e+00,2.441286911039540736e+18,6.383222071008833600e+16,1.562595307272571087e+09,2.042506476661104709e+07,2.342759303901079590e+12
1.139014373890202769e+00,2.456493575747274240e+18,6.797664733310690400e+16,1.567470494795741320e+09,2.168354924663838372e+07,2.503243522656938477e+12
1.146356402108849259e+00,2.473905832308375552e+18,7.284506772059931200e+16,1.573035903462620020e+09,2.315429277877810597e+07,2.690262803164190430e+12
1.153698430327495750e+00,2.489153288230030848e+18,7.837764463690899200e+16,1.577900541157582998e+09,2.483605353839550912e+07,2.904145792292459961e+12
